source_site,listing_id,listing_url,title,purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug,purchase_price_rands,rent_median_suburb_type_bed,rent_mean_suburb_type_bed,rent_count_suburb_type_bed,rent_median_suburb_bed,rent_mean_suburb_bed,rent_count_suburb_bed,rent_median_suburb,rent_mean_suburb,rent_count_suburb,rent_median_city_type_bed,rent_mean_city_type_bed,rent_count_city_type_bed,rent_median_city,rent_mean_city,rent_count_city,rent_median_province,rent_mean_province,rent_count_province,estimated_monthly_rent,rent_estimation_source,deposit_pct,deposit_amount,transfer_cost_rate,transfer_costs,total_cash_invested,loan_amount,annual_interest_rate,loan_term_years,bond_payment,other_income,gross_income,levies_clean,rates_taxes_clean,maintenance_rate,vacancy_rate,maintenance_cost,vacancy_cost,total_expenses,NOI,cash_flow,DSCR,annual_rent,rental_yield,annual_cash_flow,ROI,payments_made_12m,remaining_balance_12m,equity_12m,investment_label
privateproperty,T5332132,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/broadacres/T5332132,2 Bedroom Apartment in Broadacres,890000.0,Broadacres,Sandton,Gauteng,Apartment,2.0,2.0,1.0,,85.0,5.0,2693.0,840.0,"2 Bedroom Apartment in Broadacres, Airbnb Opportunity Spacious Upstairs Two Bed Two Bath Apartment Airbnb Opportunity Spacious Upstair",11 Dec 2025,2026-03-27T16:32:22.940146+00:00,for-sale,gauteng,johannesburg-metro,sandton,broadacres,890000.0,10700.0,12899.923076923076,13.0,12100.0,14079.971428571429,35.0,15950.0,18588.669811320753,106.0,10750.0,15520.06779661017,354.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,10700.0,suburb_property_type_bedrooms,0.1,89000.0,0.08,71200.0,160200.0,801000.0,0.11,20,8267.82902293219,0.0,10700.0,2693.0,840.0,0.08,0.05,856.0,535.0,4924.0,5776.0,-2491.82902293219,0.6986114473314953,128400.0,0.14426966292134832,-29901.94827518628,-0.18665385939566967,12,789318.7638947598,100681.23610524018,Weak Investment
privateproperty,T5405954,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/sundowner/T5405954,2 Bedroom Apartment in Sundowner,885000.0,Sundowner,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,1.0,,105.0,,1741.5,446.0,"2 Bedroom Apartment in Sundowner, High-demand, low-maintenance, a prime investment opportunity Whether you are stepping onto the pro",27 Feb 2026,2026-03-27T16:32:19.698613+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,sundowner,885000.0,,,,18200.0,17883.333333333332,6.0,20350.0,21887.5,16.0,8800.0,8967.151515151516,33.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,18200.0,suburb_bedrooms,0.1,88500.0,0.08,70800.0,159300.0,796500.0,0.11,20,8221.380545275268,0.0,18200.0,1741.5,446.0,0.08,0.05,1456.0,910.0,4553.5,13646.5,5425.119454724732,1.6598793748627152,218400.0,0.24677966101694915,65101.43345669679,0.4086718986609968,12,784884.3888166994,100115.61118330061,Strong Investment
privateproperty,T5374159,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5374159,2 Bedroom Apartment in Jackal Creek Golf Estate,880000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,2.0,3.0,,71.0,,2696.0,540.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Sunningdale Ground-Floor Apartment with Garden Views Wake up to serene views of lush indigenous ga",3 Feb 2026,2026-03-27T16:32:15.389505+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,880000.0,6650.0,6650.0,2.0,9050.0,11570.0,5.0,16000.0,13813.793103448275,29.0,8800.0,8967.151515151516,33.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,6650.0,suburb_property_type_bedrooms,0.1,88000.0,0.08,70400.0,158400.0,792000.0,0.11,20,8174.932067618345,0.0,6650.0,2696.0,540.0,0.08,0.05,532.0,332.5,4100.5,2549.5,-5625.432067618345,0.31186803497717164,79800.0,0.09068181818181818,-67505.18481142014,-0.42616909603169284,12,780450.013738639,99549.98626136105,Weak Investment
privateproperty,T5078482,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-central/braamfontein/T5078482,2 Bedroom Apartment in Braamfontein,860000.0,Braamfontein,Johannesburg Central,Gauteng,Apartment,2.0,1.0,,,90.0,,2517.0,568.0,"2 Bedroom Apartment in Braamfontein, A Rare gem in the heart of Johannesburg I''m excited to share details about a stunning apartment no",15 May 2025,2026-03-27T16:32:11.817664+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-central,braamfontein,860000.0,4900.0,5544.0,25.0,5600.0,6809.677419354839,31.0,5475.0,6749.206349206349,126.0,5325.0,6985.715053763441,186.0,5900.0,9605.523189585028,1229,12400.0,19322.0406,10000,4900.0,suburb_property_type_bedrooms,0.1,86000.0,0.08,68800.0,154800.0,774000.0,0.11,20,7989.138156990655,0.0,4900.0,2517.0,568.0,0.08,0.05,392.0,245.0,3722.0,1178.0,-6811.138156990655,0.14745019761227016,58800.0,0.06837209302325581,-81733.65788388786,-0.5279952059682679,12,762712.5134263971,97287.48657360289,Weak Investment
privateproperty,T4938016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/lonehill/T4938016,2 Bedroom Apartment in Lonehill,850000.0,Lonehill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,,67.0,67.0,2103.0,830.0,"2 Bedroom Apartment in Lonehill, FOR SALE: 2-BEDROOM UNIT IN LONEHILL Bank-Assisted Sale This modern 2-bedroom, 1-bathroom unit in t",29 Jan 2025,2026-03-27T16:32:08.500709+00:00,for-sale,gauteng,johannesburg-metro,sandton,lonehill,850000.0,7700.0,13850.0,5.0,18050.0,19602.083333333332,24.0,20000.0,22960.714285714286,112.0,10750.0,15520.06779661017,354.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,7700.0,suburb_property_type_bedrooms,0.1,85000.0,0.08,68000.0,153000.0,765000.0,0.11,20,7896.241201676811,0.0,7700.0,2103.0,830.0,0.08,0.05,616.0,385.0,3934.0,3766.0,-4130.241201676811,0.47693578549756926,92400.0,0.10870588235294118,-49562.89442012174,-0.3239404864060244,12,753843.7632702762,96156.23672972375,Weak Investment
privateproperty,T5278116,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/petervale/T5278116,1 Bedroom Apartment in Petervale,850000.0,Petervale,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,44.0,44.0,2000.0,1800.0,"1 Bedroom Apartment in Petervale, Stunning 1-Bed, 1-Bath Top-Floor Apartment Experience modern living at its finest in this immaculat",23 Oct 2025,2026-03-27T16:32:05.900476+00:00,for-sale,gauteng,johannesburg-metro,sandton,petervale,850000.0,,,,,,,,,,8700.0,11180.76059850374,401.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,8700.0,city_property_type_bedrooms,0.1,85000.0,0.08,68000.0,153000.0,765000.0,0.11,20,7896.241201676811,0.0,8700.0,2000.0,1800.0,0.08,0.05,696.0,435.0,4931.0,3769.0,-4127.241201676811,0.47731571310152376,104400.0,0.1228235294117647,-49526.89442012174,-0.32370519228837735,12,753843.7632702762,96156.23672972375,Weak Investment
privateproperty,T4209698,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sunninghill/T4209698,2 Bedroom Apartment in Sunninghill,849000.0,Sunninghill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,1.0,108.0,108.0,3500.0,856.0,"2 Bedroom Apartment in Sunninghill, Gorgeous Two Bed Loft SOLE MANDATE - NEW RELEASE - PRICED TO SELL Inviting serious buyers to view",12 Jun 2023,2026-03-27T16:32:03.081591+00:00,for-sale,gauteng,johannesburg-metro,sandton,sunninghill,849000.0,8100.0,8213.513513513513,37.0,8690.0,9518.367346938776,49.0,8100.0,11274.144144144144,222.0,10750.0,15520.06779661017,354.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,8100.0,suburb_property_type_bedrooms,0.1,84900.0,0.08,67920.0,152820.0,764100.0,0.11,20,7886.951506145426,0.0,8100.0,3500.0,856.0,0.08,0.05,648.0,405.0,5409.0,2691.0,-5195.951506145426,0.3411964683570328,97200.0,0.11448763250883393,-62351.41807374511,-0.4080056149309325,12,752956.8882546641,96043.11174533586,Weak Investment
privateproperty,T5407338,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5407338,2 Bedroom Apartment in Jackal Creek Golf Estate,840000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,3.0,,60.0,,2348.0,718.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Kingsbarns This two-bedroom apartment is located on the first floor with beautiful views of the ind",28 Feb 2026,2026-03-27T16:31:59.232780+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,840000.0,6650.0,6650.0,2.0,9050.0,11570.0,5.0,16000.0,13813.793103448275,29.0,8800.0,8967.151515151516,33.0,10613.0,15140.497975708502,494,12400.0,19322.0406,10000,6650.0,suburb_property_type_bedrooms,0.1,84000.0,0.08,67200.0,151200.0,756000.0,0.11,20,7803.344246362965,0.0,6650.0,2348.0,718.0,0.08,0.05,532.0,332.5,3930.5,2719.5,-5083.844246362965,0.3485044250441114,79800.0,0.095,-61006.130956355584,-0.40347970209229883,12,744975.0131141554,95024.98688584461,Weak Investment
privateproperty,T5144532,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/lonehill/T5144532,1 Bedroom Apartment in Lonehill,830000.0,Lonehill,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,49.0,49.0,2572.0,920.0,"1 Bedroom Apartment in Lonehill, Inviting buyers between R779 000 and R830 000 to view and negotiate This neat and sunny 1-bedroom,",8 Jul 2025,2026-03-27T16:31:56.563255+00:00,for-sale,gauteng,johannesburg-metro,sandton,lonehill,830000.0,7750.0,7715.0,10.0,9375.0,11703.125,16.0,20000.0,22960.714285714286,112.0,8700.0,11180.76059850374,401.0,19900.0,27643.269198312235,3555,12400.0,19322.0406,10000,7750.0,suburb_property_type_bedrooms,0.1,83000.0,0.08,66400.0,149400.0,747000.0,0.11,20,7710.44729104912,0.0,7750.0,2572.0,920.0,0.08,0.05,620.0,387.5,4499.5,3250.5,-4459.94729104912,0.4215708735566392,93000.0,0.11204819277108434,-53519.367492589445,-0.3582286980762346,12,736106.2629580344,93893.73704196559,Weak Investment
privateproperty,T5132495,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/halfway-gardens/T5132495,2 Bedroom Apartment in Halfway Gardens,800000.0,Halfway Gardens,Midrand,Gauteng,Apartment,2.0,1.0,1.0,1.0,71.0,71.0,1406.0,783.0,"2 Bedroom Apartment in Halfway Gardens, Step into this beautifully renovated 2-bedroom, 1-bathroom apartment that blends modern comfort with",27 Jun 2025,2026-03-27T16:31:52.651686+00:00,for-sale,gauteng,johannesburg-metro,midrand,halfway-gardens,800000.0,6625.0,6625.0,2.0,13600.0,13434.782608695652,23.0,14800.0,16085.416666666666,120.0,10100.0,11567.956112852664,319.0,12000.0,17640.682462139717,2047,12400.0,19322.0406,10000,6625.0,suburb_property_type_bedrooms,0.1,80000.0,0.08,64000.0,144000.0,720000.0,0.11,20,7431.756425107586,0.0,6625.0,1406.0,783.0,0.08,0.05,530.0,331.25,3050.25,3574.75,-3857.0064251075864,0.48101011329206067,79500.0,0.099375,-46284.07710129104,-0.3214172020922989,12,709500.0124896717,90499.9875103283,Weak Investment
