source_site,listing_id,rental_url,title,monthly_rent,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,furnished_flag,availability_text,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug
privateproperty,RR4560077,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/noordwyk/73-riverwalk/2-boxwood-st-street/RR4560077,1 Bedroom Apartment in Noordwyk,4500.0,Noordwyk,Midrand,Gauteng,Apartment,1.0,1.0,1.0,,,,,,1.0,,"1 Bedroom Apartment in Noordwyk, 73 Riverwalk, 2 Boxwood St Street, Private Room in Shared Apartment to rent Water and Electricity Included Rent: R 4,500.00 per mont",26 Mar 2026,2026-03-27T17:37:35.113654+00:00,to-rent,gauteng,johannesburg-metro,midrand,noordwyk
privateproperty,RR4016373,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/soweto/pimville/klipspruit/RR4016373,2 Bedroom Apartment in Klipspruit,6500.0,Pimville,Soweto,Gauteng,Apartment,2.0,1.0,1.0,,,,,,,,"2 Bedroom Apartment in Klipspruit, Step into comfortable and secure living with this modern 2-bedroom apartment for rent in the sought-",26 Mar 2026,2026-03-27T17:37:31.863821+00:00,to-rent,gauteng,johannesburg-metro,soweto,pimville
privateproperty,RR4639578,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/rosebank-and-parktown/waverley/RR4639578,3 Bedroom Apartment in Waverley,16000.0,Waverley,Rosebank And Parktown,Gauteng,Apartment,3.0,2.0,2.0,,92.0,,,,,Available Now,"3 Bedroom Apartment in Waverley, The Gold Standard of Reliability: Luxury 3-Bedroom Living in Waverley Experience the perfect balance",26 Mar 2026,2026-03-27T17:37:27.750354+00:00,to-rent,gauteng,johannesburg-metro,rosebank-and-parktown,waverley
privateproperty,RR4639617,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/johannesburg-cbd/1604-shell-house/51-plein-street/RR4639617,Studio Apartment in Johannesburg CBD,3700.0,Johannesburg Cbd,Johannesburg Central,Gauteng,Apartment,0.5,1.0,,,33.0,,,,,Available Now,"Studio Apartment in Johannesburg CBD, 1604 Shell House, 51 Plein Street, We having a big special. NO DEPOSIT FOR THE MONTH OF APRIL and 50 OFF FIRST MONTHS RENT. SPECIAL OF",26 Mar 2026,2026-03-27T17:37:25.147375+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,johannesburg-cbd
privateproperty,RR4639622,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/RR4639622,1 Bedroom Apartment in Waterfall Estate,8500.0,Waterfall Estate,Midrand,Gauteng,Apartment,1.0,1.0,1.0,,37.0,,,,0.0,Available Now,"1 Bedroom Apartment in Waterfall Estate, This modern 1 bedroom, 1 bathroom first floor apartment is located in the highly sought-after Munyak",26 Mar 2026,2026-03-27T17:37:21.446463+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR4639642,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/noordwyk/RR4639642,3 Bedroom Apartment in Noordwyk,20000.0,Noordwyk,Midrand,Gauteng,Apartment,3.0,2.0,2.0,,,,,,1.0,Available Now,"3 Bedroom Apartment in Noordwyk, Discover modern living at Franklin on 8th, Noordwyk. This spacious ground floor apartment offers 3 b",26 Mar 2026,2026-03-27T17:37:18.177231+00:00,to-rent,gauteng,johannesburg-metro,midrand,noordwyk
privateproperty,RR4639644,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/morningside/RR4639644,3 Bedroom Apartment in Morningside,39000.0,Morningside,Sandton,Gauteng,Apartment,3.0,2.5,2.0,2.0,,,,,1.0,,"3 Bedroom Apartment in Morningside, Luxury Furnished Three-Bedroom Apartment | 22 West Road South, Sandton with Staff Quarters Step in",26 Mar 2026,2026-03-27T17:37:14.820107+00:00,to-rent,gauteng,johannesburg-metro,sandton,morningside
privateproperty,RR4639662,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/northcliff/roosevelt-park/franklin-roosevelt-park/8-olive-schreiner/11-olive-schreiner-street/RR4639662,2 Bedroom Apartment in Franklin Roosevelt Park,8198.0,Roosevelt Park,Northcliff,Gauteng,Apartment,2.0,2.0,3.0,,,,,,,,"2 Bedroom Apartment in Franklin Roosevelt Park, 8 Olive Schreiner, 11 Olive Schreiner Street, This fully tiled, 2-bedroom, 2-bathroom apartment on the first floor offers a spacious and comfortab",26 Mar 2026,2026-03-27T17:37:12.091283+00:00,to-rent,gauteng,johannesburg-metro,northcliff,roosevelt-park
privateproperty,RR4639683,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sandhurst/RR4639683,2 Bedroom Apartment in Sandhurst,18500.0,Sandhurst,Sandton,Gauteng,Apartment,2.0,1.0,2.0,,,,,,1.0,Available Now,"2 Bedroom Apartment in Sandhurst, Located along the prestigious sought-after suburb of Sandhurst, this beautifully appointed two-bedr",26 Mar 2026,2026-03-27T17:37:09.009074+00:00,to-rent,gauteng,johannesburg-metro,sandton,sandhurst
privateproperty,RR2894869,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/buccleuch/29-parkville-place-eco-estate/65-parkville-road/RR2894869,1 Bedroom Apartment in Buccleuch,6400.0,Buccleuch,Sandton,Gauteng,Apartment,1.0,1.0,1.0,1.0,48.0,2.0,,,,,"1 Bedroom Apartment in Buccleuch, 29 Parkville Place eco estate, 65 Parkville road, STUNNING 1 BED 1 BATH This stunning modern 1 bedroom unit is in a lovely quiet complex that is in cl",26 Mar 2026,2026-03-27T17:37:05.250661+00:00,to-rent,gauteng,johannesburg-metro,sandton,buccleuch
