source_site,listing_id,listing_url,title,purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug,purchase_price_Rands
privateproperty,T5332132,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/broadacres/T5332132,2 Bedroom Apartment in Broadacres,8900000.0,Broadacres,Sandton,Gauteng,Apartment,2.0,2.0,1.0,,85.0,5.0,2693.0,840.0,"2 Bedroom Apartment in Broadacres, Airbnb Opportunity Spacious Upstairs Two Bed Two Bath Apartment Airbnb Opportunity Spacious Upstair",11 Dec 2025,2026-03-27T16:32:22.940146+00:00,for-sale,gauteng,johannesburg-metro,sandton,broadacres,890000.0
privateproperty,T5405954,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/sundowner/T5405954,2 Bedroom Apartment in Sundowner,8850000.0,Sundowner,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,1.0,,105.0,,1741.5,446.0,"2 Bedroom Apartment in Sundowner, High-demand, low-maintenance, a prime investment opportunity Whether you are stepping onto the pro",27 Feb 2026,2026-03-27T16:32:19.698613+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,sundowner,885000.0
privateproperty,T5374159,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5374159,2 Bedroom Apartment in Jackal Creek Golf Estate,8800000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,2.0,3.0,,71.0,,2696.0,540.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Sunningdale Ground-Floor Apartment with Garden Views Wake up to serene views of lush indigenous ga",3 Feb 2026,2026-03-27T16:32:15.389505+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,880000.0
privateproperty,T5078482,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-central/braamfontein/T5078482,2 Bedroom Apartment in Braamfontein,8600000.0,Braamfontein,Johannesburg Central,Gauteng,Apartment,2.0,1.0,,,90.0,,2517.0,568.0,"2 Bedroom Apartment in Braamfontein, A Rare gem in the heart of Johannesburg I''m excited to share details about a stunning apartment no",15 May 2025,2026-03-27T16:32:11.817664+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-central,braamfontein,860000.0
privateproperty,T4938016,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/lonehill/T4938016,2 Bedroom Apartment in Lonehill,8500000.0,Lonehill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,,67.0,67.0,2103.0,830.0,"2 Bedroom Apartment in Lonehill, FOR SALE: 2-BEDROOM UNIT IN LONEHILL Bank-Assisted Sale This modern 2-bedroom, 1-bathroom unit in t",29 Jan 2025,2026-03-27T16:32:08.500709+00:00,for-sale,gauteng,johannesburg-metro,sandton,lonehill,850000.0
privateproperty,T5278116,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/petervale/T5278116,1 Bedroom Apartment in Petervale,8500000.0,Petervale,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,44.0,44.0,2000.0,1800.0,"1 Bedroom Apartment in Petervale, Stunning 1-Bed, 1-Bath Top-Floor Apartment Experience modern living at its finest in this immaculat",23 Oct 2025,2026-03-27T16:32:05.900476+00:00,for-sale,gauteng,johannesburg-metro,sandton,petervale,850000.0
privateproperty,T4209698,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sunninghill/T4209698,2 Bedroom Apartment in Sunninghill,8490000.0,Sunninghill,Sandton,Gauteng,Apartment,2.0,1.0,1.0,1.0,108.0,108.0,3500.0,856.0,"2 Bedroom Apartment in Sunninghill, Gorgeous Two Bed Loft SOLE MANDATE - NEW RELEASE - PRICED TO SELL Inviting serious buyers to view",12 Jun 2023,2026-03-27T16:32:03.081591+00:00,for-sale,gauteng,johannesburg-metro,sandton,sunninghill,849000.0
privateproperty,T5407338,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5407338,2 Bedroom Apartment in Jackal Creek Golf Estate,8400000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,3.0,,60.0,,2348.0,718.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Kingsbarns This two-bedroom apartment is located on the first floor with beautiful views of the ind",28 Feb 2026,2026-03-27T16:31:59.232780+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,840000.0
privateproperty,T5144532,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/lonehill/T5144532,1 Bedroom Apartment in Lonehill,8300000.0,Lonehill,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,49.0,49.0,2572.0,920.0,"1 Bedroom Apartment in Lonehill, Inviting buyers between R779 000 and R830 000 to view and negotiate This neat and sunny 1-bedroom,",8 Jul 2025,2026-03-27T16:31:56.563255+00:00,for-sale,gauteng,johannesburg-metro,sandton,lonehill,830000.0
privateproperty,T5132495,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/halfway-gardens/T5132495,2 Bedroom Apartment in Halfway Gardens,8000000.0,Halfway Gardens,Midrand,Gauteng,Apartment,2.0,1.0,1.0,1.0,71.0,71.0,1406.0,783.0,"2 Bedroom Apartment in Halfway Gardens, Step into this beautifully renovated 2-bedroom, 1-bathroom apartment that blends modern comfort with",27 Jun 2025,2026-03-27T16:31:52.651686+00:00,for-sale,gauteng,johannesburg-metro,midrand,halfway-gardens,800000.0
privateproperty,T5425735,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/fourways/T5425735,2 Bedroom Apartment in Fourways,7990000.0,Fourways,Sandton,Gauteng,Apartment,2.0,1.0,2.0,,73.0,,2228.0,978.0,"2 Bedroom Apartment in Fourways, Step into modern comfort with this beautifully presented two-bedroom apartment, perfectly positioned",16 Mar 2026,2026-03-27T16:31:49.867484+00:00,for-sale,gauteng,johannesburg-metro,sandton,fourways,799000.0
privateproperty,T5404329,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/paulshof/T5404329,2 Bedroom Apartment in Paulshof,7990000.0,Paulshof,Sandton,Gauteng,Apartment,2.0,2.0,1.0,,58.0,,2465.0,588.0,"2 Bedroom Apartment in Paulshof, Gorgeous, Cosy 2-Bedroom, 2-Bathroom Garden Unit This charming and well-maintained unit offers com",26 Feb 2026,2026-03-27T16:31:47.262541+00:00,for-sale,gauteng,johannesburg-metro,sandton,paulshof,799000.0
privateproperty,T5026106,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/paulshof/T5026106,2 Bedroom Apartment in Paulshof,7980000.0,Paulshof,Sandton,Gauteng,Apartment,2.0,1.0,,,62.0,62.0,1311.0,469.0,"2 Bedroom Apartment in Paulshof, Looking for a stylish 2-bed, 1-bath apartment in a prime location This move-in-ready gem, nestled be",1 Apr 2025,2026-03-27T16:31:44.332287+00:00,for-sale,gauteng,johannesburg-metro,sandton,paulshof,798000.0
privateproperty,T5124844,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/north-riding-to-lanseria/jackal-creek-northriding/jackal-creek-golf-estate/T5124844,2 Bedroom Apartment in Jackal Creek Golf Estate,7980000.0,Jackal Creek Northriding,North Riding To Lanseria,Gauteng,Apartment,2.0,1.0,3.0,,59.0,,2500.0,690.0,"2 Bedroom Apartment in Jackal Creek Golf Estate, Wentworth 1st Floor, 2 Bedroom, 1 Bathroom at Wentworth Open plan, tiled, kitchen has modern finish",22 Jun 2025,2026-03-27T16:31:40.811095+00:00,for-sale,gauteng,johannesburg-metro,north-riding-to-lanseria,jackal-creek-northriding,798000.0
privateproperty,T4570469,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/paulshof/T4570469,1 Bedroom Apartment in Paulshof,7950000.0,Paulshof,Sandton,Gauteng,Apartment,1.0,1.0,,,71.0,,2065.0,480.0,"1 Bedroom Apartment in Paulshof, Welcome to Via Positano in Paulshof, where luxury meets convenience in this stunning 1.5-bedroom, 1-",21 Jan 2025,2026-03-27T16:31:37.188839+00:00,for-sale,gauteng,johannesburg-metro,sandton,paulshof,795000.0
