suburb,avg_purchase_price,median_purchase_price,sale_listings,avg_monthly_rent,median_monthly_rent,rental_listings,gross_yield_pct_est
Albertville,519333.3333333333,500000.0,3.0,,,,
Alveda,742500.0,742500.0,2.0,8000.0,8000.0,1.0,12.93
Aspen Hills,5797000.0,5797000.0,2.0,,,,
Atholl,8824250.0,8149500.0,4.0,6430.0,6160.0,3.0,0.87
Auckland Park,1333333.3333333333,510000.0,3.0,6080.0,6000.0,5.0,5.47
Barbeque Downs,1524500.0,1524500.0,4.0,15500.0,12500.0,5.0,12.2
Bassonia,2616666.6666666665,2900000.0,3.0,,,,
Bedford Gardens,3439833.3333333335,2920000.0,6.0,15500.0,15500.0,2.0,5.41
Bedfordview,4412500.0,5175000.0,4.0,21975.8064516129,24000.0,31.0,5.98
Benmore Gardens,,,,56083.333333333336,75000.0,6.0,
Berea,300000.0,300000.0,1.0,4220.142857142857,4290.0,7.0,16.88
Bergbron,2649000.0,2649000.0,1.0,,,,
Beverley,2344777.777777778,1490000.0,9.0,19606.25,14425.0,8.0,10.03
Bezuidenhout Valley,,,,6591.666666666667,6850.0,6.0,
Blackheath,837500.0,837500.0,2.0,8750.0,8750.0,2.0,12.54
Blair Atholl Estate,11750000.0,11750000.0,1.0,,,,
Blairgowrie,2900000.0,2750000.0,3.0,18583.333333333332,16750.0,6.0,7.69
Bloubosrand,744500.0,744500.0,2.0,,,,
Blue Hills,8141571.428571428,4192500.0,14.0,20914.14285714286,25000.0,7.0,3.08
Bordeaux,1925000.0,1925000.0,2.0,30000.0,30000.0,1.0,18.7
Boskruin,3775000.0,3775000.0,2.0,13000.0,13000.0,1.0,4.13
Bosmont,940000.0,940000.0,2.0,,,,
Braamfontein,1180000.0,1180000.0,2.0,5541.666666666667,5825.0,12.0,5.64
Bram Fisherville,726333.0,700000.0,3.0,2500.0,2500.0,1.0,4.13
Bramley,,,,10037.0,6565.0,10.0,
Bramley Park,995000.0,995000.0,1.0,12500.0,12500.0,1.0,15.08
Bramley View,,,,10000.0,10000.0,1.0,
Brixton,1224999.5,1224999.5,2.0,3933.3333333333335,3500.0,3.0,3.85
Broadacres,1992666.6666666667,2325000.0,9.0,18899.9,17000.0,10.0,11.38
Bromhof,920000.0,920000.0,2.0,6500.0,6500.0,1.0,8.48
Bruma,700000.0,700000.0,1.0,5100.0,5100.0,1.0,8.74
Bryanston,5354204.318181818,3299000.0,44.0,27872.90322580645,21000.0,31.0,6.25
Buccleuch,780000.0,780000.0,1.0,6375.0,6375.0,2.0,9.81
Carlswald,2103725.0,2090000.0,4.0,10050.0,8600.0,4.0,5.73
Carlswald Estate,1675570.642857143,1360000.0,14.0,11670.833333333334,9600.0,12.0,8.36
Carlswald North Estate,4899000.0,4899000.0,1.0,7400.0,7400.0,1.0,1.81
Cedar Creek,5900000.0,5900000.0,1.0,35000.0,35000.0,1.0,7.12
Cedar Lakes,3152201.5,3152201.5,2.0,47500.0,47500.0,1.0,18.08
Chartwell,4314331.5,2029000.0,6.0,18860.0,19500.0,5.0,5.25
Chiawelo,,,,6000.0,6000.0,1.0,
City And Suburban Maboneng,580000.0,580000.0,1.0,4480.0,4635.0,4.0,9.27
Clayville,1151799.8,950000.0,5.0,10779.166666666666,8000.0,12.0,11.23
Corlett Gardens,935000.0,935000.0,1.0,6250.0,6250.0,2.0,8.02
Coronationville,,,,6650.0,6650.0,1.0,
Cosmo City,1542181.8181818181,1680000.0,11.0,6750.0,6500.0,6.0,5.25
Country View,,,,8175.0,8950.0,4.0,
Craigavon,2531888.888888889,2600000.0,9.0,21857.14285714286,21000.0,7.0,10.36
Craighall,895000.0,895000.0,1.0,11000.0,11000.0,2.0,14.75
Craighall Park,,,,18666.666666666668,23000.0,3.0,
Crosby,1800000.0,1800000.0,1.0,,,,
Crown Gardens,,,,12000.0,12000.0,1.0,
Crowthorne,1982500.0,1982500.0,2.0,11500.0,9000.0,3.0,6.96
Cyrildene,,,,16000.0,16000.0,1.0,
Dainfern,9645912.875,9425000.0,8.0,42142.857142857145,42000.0,35.0,5.24
Dainfern Ridge,,,,35000.0,35000.0,4.0,
Dainfern Valley,18992500.0,18992500.0,2.0,54500.0,55000.0,8.0,3.44
