source_site,listing_id,rental_url,title,monthly_rent,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,furnished_flag,availability_text,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug
privateproperty,RR4635422,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/morningside/RR4635422,6 Bedroom House in Morningside,110000.0,Morningside,Sandton,Gauteng,House,6.0,7.0,1.0,1.0,887.0,2.0,,,,Available Now,"6 Bedroom House in Morningside, This beautifully updated residence offers the perfect blend of elegance and everyday comfort. Set on",20 Mar 2026,2026-03-27T16:35:40.246438+00:00,to-rent,gauteng,johannesburg-metro,sandton,morningside
privateproperty,RR4638183,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/benmore-gardens/RR4638183,5 Bedroom House in Benmore Gardens,75000.0,Benmore Gardens,Sandton,Gauteng,House,5.0,5.0,3.0,3.0,,803.0,,,,Available Now,"5 Bedroom House in Benmore Gardens, Waterstone Estate is located on the doorstep of Sandton, one of Johannesburg and South Africa''s mos",24 Mar 2026,2026-03-27T16:35:42.881578+00:00,to-rent,gauteng,johannesburg-metro,sandton,benmore-gardens
privateproperty,RR4610204,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/randburg/ferndale/RR4610204,3 Bedroom House in Ferndale,19900.0,Ferndale,Randburg,Gauteng,House,3.0,2.0,5.0,2.0,205.0,,,,,Available Now,"3 Bedroom House in Ferndale, Available 1 March 2026. R19 900pm excluding all utiliities: sewerage, Pikitup by rates and taxes ac",16 Feb 2026,2026-03-27T16:35:45.804990+00:00,to-rent,gauteng,johannesburg-metro,randburg,ferndale
privateproperty,RR3307475,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/grand-central/3-tangelo-place/197-church-street/RR3307475,1 Bedroom House in Grand Central,6500.0,Grand Central,Midrand,Gauteng,House,1.0,1.0,,,,,,,,Available Now,"1 Bedroom House in Grand Central, 3 Tangelo Place, 197 Church Street, Be the first to move into this stylish and contemporary 1-bedroom, 1-bathroom apartment in a brand-n",11 Jul 2025,2026-03-27T16:35:48.904997+00:00,to-rent,gauteng,johannesburg-metro,midrand,grand-central
privateproperty,RR4011983,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/grand-central/RR4011983,1 Bedroom House in Grand Central,6300.0,Grand Central,Midrand,Gauteng,House,1.0,1.0,,,,,,,,Available Now,"1 Bedroom House in Grand Central, This beautiful and well-appointed 1-bedroom, 1-bathroom apartment offers secure, convenient living i",12 Dec 2025,2026-03-27T16:35:52.589116+00:00,to-rent,gauteng,johannesburg-metro,midrand,grand-central
privateproperty,RR4339338,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/bezuidenhout-valley/RR4339338,2 Bedroom House in Bezuidenhout Valley,6850.0,Bezuidenhout Valley,Johannesburg Central,Gauteng,House,2.0,1.0,,,,,,,,Available Now,"2 Bedroom House in Bezuidenhout Valley, Stunning 2 bedroom house to rent in Bez-Valley This neat and tidy home offers you with a lovely 2 be",10 Feb 2026,2026-03-27T16:35:55.664854+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,bezuidenhout-valley
privateproperty,RR4637040,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/fourways/fernbrook-estate/RR4637040,4.5 Bedroom House in Fernbrook Estate,38000.0,Fourways,Sandton,Gauteng,House,4.5,2.5,2.0,2.0,,,,,,,"4.5 Bedroom House in Fernbrook Estate, Elegant 4-Bedroom Family Home for Rent in Fernbrook Lifestyle Estate This well-appointed family res",23 Mar 2026,2026-03-27T16:35:59.797215+00:00,to-rent,gauteng,johannesburg-metro,sandton,fourways
privateproperty,RR4636737,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hurlingham/0-hurlingham/60-balmoral-avenue/RR4636737,3 Bedroom House in Hurlingham,55000.0,Hurlingham,Sandton,Gauteng,House,3.0,3.5,6.0,2.0,400.0,2.0,,,,,"3 Bedroom House in Hurlingham, Hurlingham, 60 Balmoral Avenue, Available 1 May Extra charges: Only Prepaid Electricity and Prepaid Water Included in the rental: F",23 Mar 2026,2026-03-27T16:36:03.198437+00:00,to-rent,gauteng,johannesburg-metro,sandton,hurlingham
privateproperty,RR4632745,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/fourways/RR4632745,5 Bedroom House in Fourways,29500.0,Fourways,Sandton,Gauteng,House,5.0,4.5,6.0,2.0,250.0,1.0,,,,,"5 Bedroom House in Fourways, Nestled within a quiet, tree-lined street in the sought-after suburb of Fourways, this beautifully m",17 Mar 2026,2026-03-27T16:36:07.496008+00:00,to-rent,gauteng,johannesburg-metro,sandton,fourways
privateproperty,RR4629508,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/randburg/ferndale/6f-lighthouse-on-main/343-main-avenue/RR4629508,1 Bedroom House in Ferndale,4800.0,Ferndale,Randburg,Gauteng,House,1.0,1.0,,,12.0,,,,,,"1 Bedroom House in Ferndale, 6F Lighthouse on Main, 343 Main Avenue, A newly renovated room is available immediately in a Shared house. Shared kitchen, bathroom, and liv",12 Mar 2026,2026-03-27T16:36:11.639108+00:00,to-rent,gauteng,johannesburg-metro,randburg,ferndale
privateproperty,RR4257523,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/vorna-valley/RR4257523,2 Bedroom House in Vorna Valley,7500.0,Vorna Valley,Midrand,Gauteng,House,1.0,1.0,1.0,,,,,,,Available Now,"2 Bedroom House in Vorna Valley, AVAILABLE IMMEDIATELY FOR OCCUPATION Ground floor apartment 2 bedrooms 1 full bathroom Open plan l",2 Mar 2026,2026-03-27T16:36:14.356888+00:00,to-rent,gauteng,johannesburg-metro,midrand,vorna-valley
privateproperty,RR4618487,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/soweto/protea-glen/RR4618487,3 Bedroom House in Protea Glen,5000.0,Protea Glen,Soweto,Gauteng,House,3.0,1.0,2.0,,,,,,,Available Now,"3 Bedroom House in Protea Glen, Immaculate property for rental Herein contains a rental property at Protea Glen ext 28. This propert",26 Feb 2026,2026-03-27T16:36:17.331000+00:00,to-rent,gauteng,johannesburg-metro,soweto,protea-glen
privateproperty,RR4614985,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/soweto/pimville/klipspruit/RR4614985,2 Bedroom House in Klipspruit,6900.0,Pimville,Soweto,Gauteng,House,2.0,1.0,1.0,,,,,,,,"2 Bedroom House in Klipspruit, Orlando Towers is where vibrant living meets everyday convenience a place designed for comfort, con",23 Feb 2026,2026-03-27T16:36:20.295165+00:00,to-rent,gauteng,johannesburg-metro,soweto,pimville
privateproperty,RR4614277,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-country-village/RR4614277,3 Bedroom House in Waterfall Country Village,75000.0,Waterfall Country Village,Midrand,Gauteng,House,3.0,3.5,2.0,2.0,470.0,615.0,,,1.0,,"3 Bedroom House in Waterfall Country Village, Fully furnished and equipped, perfect for a Corporate, bring your suitcases! A very comfortable and",20 Feb 2026,2026-03-27T16:36:23.167818+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-country-village
privateproperty,RR4604070,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/4391-the-villas-waterfall/1-barbet-crescent/RR4604070,4 Bedroom House in Waterfall Estate,47600.0,Waterfall Estate,Midrand,Gauteng,House,4.0,5.0,2.0,1.0,,400.0,,,,,"4 Bedroom House in Waterfall Estate, 4391 The Villas Waterfall, 1 Barbet Crescent, Load-shedding Solutions: Solar back-up and inverter power Freestanding houses with modern living sp",9 Feb 2026,2026-03-27T16:36:26.976361+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR3686528,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-country-village/RR3686528,4 Bedroom House in Waterfall Country Village,48000.0,Waterfall Country Village,Midrand,Gauteng,House,4.0,3.0,2.0,2.0,370.0,600.0,,,,,"4 Bedroom House in Waterfall Country Village, As you enter the front door you are greeted with a wonderful, comfortable family home. Downstairs i",4 Feb 2026,2026-03-27T16:36:30.778100+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-country-village
privateproperty,RR4592565,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/sandton-central/RR4592565,2 Bedroom House in Sandton Central,19500.0,Sandton Central,Sandton,Gauteng,House,2.0,2.0,2.0,,,,,,,Available Now,"2 Bedroom House in Sandton Central, Luxury 2-Bedroom Garden Apartment to Rent The Capitol, 20 West Road South Experience refined urban",25 Jan 2026,2026-03-27T16:36:35.038642+00:00,to-rent,gauteng,johannesburg-metro,sandton,sandton-central
privateproperty,RR4575335,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/bramley/RR4575335,7 Bedroom House in Bramley,5000.0,Bramley,Sandton,Gauteng,House,7.0,2.0,8.0,,208.0,,,,1.0,Available Now,"7 Bedroom House in Bramley, Escape to your own private sanctuary in Bramley within Savoy Estate! 6 OUT OF 7 rooms taken ONLY 1",6 Jan 2026,2026-03-27T16:36:37.705687+00:00,to-rent,gauteng,johannesburg-metro,sandton,bramley
privateproperty,RR4172309,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/blue-hills/villa-type-acacia-villas/73-cnr-acacia-mimosa-road/RR4172309,3 Bedroom House in Blue Hills,32500.0,Blue Hills,Midrand,Gauteng,House,3.0,3.5,2.0,2.0,229.0,325.0,,,,Available Now,"3 Bedroom House in Blue Hills, VILLA TYPE ACACIA VILLAS, 73 Cnr Acacia & Mimosa Road, The grace of living a luxurious family lifestyle begins here, when you rent our spacious luxury A Ty",1 Jan 2026,2026-03-27T16:36:41.051441+00:00,to-rent,gauteng,johannesburg-metro,midrand,blue-hills
privateproperty,RR4335630,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/johannesburg-central/johannesburg-cbd/0-naledi-student-accomodation/11-beit-street/RR4335630,1 Bedroom House in Johannesburg CBD,4500.0,Johannesburg Cbd,Johannesburg Central,Gauteng,House,1.0,1.0,,,,,,,,,"1 Bedroom House in Johannesburg CBD, Naledi Student Accomodation, 11 Beit Street, Naledi Student Accommodation Experience Urban living in the heart of Doornfontein in Johannesburg CB",11 Dec 2025,2026-03-27T16:36:44.155139+00:00,to-rent,gauteng,johannesburg-metro,johannesburg-central,johannesburg-cbd
privateproperty,RR4559139,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/waterfall-country-estate/RR4559139,5 Bedroom House in Waterfall Country Estate,115000.0,Waterfall Estate,Midrand,Gauteng,House,5.0,5.5,4.0,4.0,631.0,1.0,,,,Available Now,"5 Bedroom House in Waterfall Country Estate, Set in the heart of the prestigious, secure, Waterfall Country Estate, is an architectural masterpie",28 Nov 2025,2026-03-27T16:36:46.766071+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR3879895,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/waterfall-country-estate/RR3879895,4 Bedroom House in Waterfall Country Estate,65000.0,Waterfall Estate,Midrand,Gauteng,House,4.0,4.5,3.0,3.0,600.0,1.0,,,,Available Now,"4 Bedroom House in Waterfall Country Estate, Spacious 4 bedroom home for rental in Waterfall Country Estate This wonderfully spacious home offe",17 Nov 2025,2026-03-27T16:36:50.181373+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR4500469,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/waterfall-country-estate/RR4500469,4 Bedroom House in Waterfall Country Estate,69500.0,Waterfall Estate,Midrand,Gauteng,House,4.0,4.5,3.0,3.0,500.0,1.0,,,,Available Now,"4 Bedroom House in Waterfall Country Estate, Step into elegance with this stunning 4-bedroom, 4.5-bathroom home nestled in the heart of the prest",17 Sep 2025,2026-03-27T16:36:53.091935+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR574754,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hyde-park/RR574754,7 Bedroom House in Hyde Park,150000.0,Hyde Park,Sandton,Gauteng,House,7.0,7.5,7.0,7.0,2.0,,,,1.0,Available Now,"7 Bedroom House in Hyde Park, Fully Furnished Hyde Park Mansion for rental in Hyde Park This large, stunning residence is perfect",7 Feb 2025,2026-03-27T16:36:57.405873+00:00,to-rent,gauteng,johannesburg-metro,sandton,hyde-park
privateproperty,RR4640824,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/dainfern-valley/RR4640824,5 Bedroom House in Dainfern Valley,65000.0,Dainfern Valley,Sandton,Gauteng,House,5.0,5.5,3.0,3.0,565.0,1.0,,,,,"5 Bedroom House in Dainfern Valley, This spacious, entertainers home in Dainfern Valley is a must to view! This home is filled with na",27 Mar 2026,2026-03-27T16:37:00.035138+00:00,to-rent,gauteng,johannesburg-metro,sandton,dainfern-valley
privateproperty,RR4640822,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/soweto/protea-glen/RR4640822,2 Bedroom House in Protea Glen,6000.0,Protea Glen,Soweto,Gauteng,House,2.0,1.0,1.0,,,,,,,Available Now,"2 Bedroom House in Protea Glen, 2 bedroom house available in Protea Glen Star Village. The property is situated near the main street",27 Mar 2026,2026-03-27T16:37:03.578977+00:00,to-rent,gauteng,johannesburg-metro,soweto,protea-glen
privateproperty,RR4640793,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/waterfall-estate/RR4640793,4 Bedroom House in Waterfall Estate,16500.0,Waterfall Estate,Midrand,Gauteng,House,4.0,1.0,2.0,2.0,90.0,300.0,,,,,"4 Bedroom House in Waterfall Estate, 4-Bedroom House To Let in Waterfall View Estate Secure & Peaceful Living. Experience comfortable an",27 Mar 2026,2026-03-27T16:37:08.015606+00:00,to-rent,gauteng,johannesburg-metro,midrand,waterfall-estate
privateproperty,RR4640785,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/randburg/ferndale/RR4640785,2 Bedroom House in Ferndale,12000.0,Ferndale,Randburg,Gauteng,House,2.0,2.0,2.0,,370.0,1.0,,,1.0,Available Now,"2 Bedroom House in Ferndale, Partially Furnished 2 Bedroom Home To Rent in Ferndale, Randburg 9-Month Lease, Beautiful Garden, P",27 Mar 2026,2026-03-27T16:37:10.765301+00:00,to-rent,gauteng,johannesburg-metro,randburg,ferndale
privateproperty,RR4640771,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/halfway-gardens/RR4640771,3 Bedroom House in Halfway Gardens,13000.0,Halfway Gardens,Midrand,Gauteng,House,3.0,2.0,1.0,,,,,,,,"3 Bedroom House in Halfway Gardens, Located in Halfway Gardens, Midrand within a security estate. Close -3kms to Halfway House Primary,",27 Mar 2026,2026-03-27T16:37:13.456320+00:00,to-rent,gauteng,johannesburg-metro,midrand,halfway-gardens
privateproperty,RR4640764,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/bedfordview/bedfordview/RR4640764,2 Bedroom House in Bedfordview,14000.0,Bedfordview,Bedfordview,Gauteng,House,2.0,2.0,2.0,,,52.0,,,,,"2 Bedroom House in Bedfordview, Located in the newly developed Black Brick Complex this is the ideal destination for those wanting a",27 Mar 2026,2026-03-27T16:37:17.376562+00:00,to-rent,gauteng,johannesburg-metro,bedfordview,bedfordview
privateproperty,RR4640761,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/fourways-gardens/RR4640761,3 Bedroom House in Fourways Gardens,30000.0,Fourways Gardens,Sandton,Gauteng,House,3.0,2.0,2.0,2.0,240.0,435.0,,,,,"3 Bedroom House in Fourways Gardens, EXCLUSIVE MANDATE This cluster offers easy open-plan living which includes a lounge, dining room pl",27 Mar 2026,2026-03-27T16:37:20.295525+00:00,to-rent,gauteng,johannesburg-metro,sandton,fourways-gardens
privateproperty,RR4640759,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/hurlingham-manor/31-hurlingham-estate/31-vin-rouge-crescent/RR4640759,3 Bedroom House in Hurlingham Manor,26500.0,Hurlingham Manor,Sandton,Gauteng,House,3.0,2.0,6.0,2.0,240.0,801.0,,,,,"3 Bedroom House in Hurlingham Manor, 31 Hurlingham Estate, 31 Vin Rouge Crescent, Located in a double boomed off area. This central and secure three bedroom MES, two bathroom family",27 Mar 2026,2026-03-27T16:37:23.544937+00:00,to-rent,gauteng,johannesburg-metro,sandton,hurlingham-manor
privateproperty,RR4640755,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/midrand/noordwyk/RR4640755,7 Bedroom House in Noordwyk,18000.0,Noordwyk,Midrand,Gauteng,House,7.0,3.0,16.0,2.0,250.0,1.0,,,,,"7 Bedroom House in Noordwyk, Commercial Property To Let &ndash Noordwyk Flexible Office Space&nbsp From R6,000 to R18,000 per mon",27 Mar 2026,2026-03-27T16:37:27.597408+00:00,to-rent,gauteng,johannesburg-metro,midrand,noordwyk
privateproperty,RR4640736,https://www.privateproperty.co.za/to-rent/gauteng/johannesburg-metro/sandton/bryanston/RR4640736,4 Bedroom House in Bryanston,45000.0,Bryanston,Sandton,Gauteng,House,4.0,4.5,2.0,2.0,500.0,3.0,,,1.0,,"4 Bedroom House in Bryanston, This exceptional fully furnished residence located in Bryanston is available on a 68 month lease, of",27 Mar 2026,2026-03-27T16:37:31.991272+00:00,to-rent,gauteng,johannesburg-metro,sandton,bryanston
