sample_index,feature,feature_value,shap_value
7756,num__fixed_cost_burden,-0.10886656170437022,-1.3100631690576847e-14
7756,num__debt_service_headroom_win,-0.3343224895549961,-6.8463753185217984e-15
7756,num__cash_flow_margin_win,0.10283588028159563,-1.466419578359061e-15
7756,num__city_listing_density,-0.6558942310572444,1.2020809243117278e-19
7756,cat__suburb_Lyndhurst,0.0,-9.119721398771301e-20
1030,num__fixed_cost_burden,-0.6676406232422915,-1.2258712563569437e-14
1030,num__debt_service_headroom_win,0.31673699278602485,-8.655113662806949e-15
1030,num__cash_flow_margin_win,0.7490357853047775,-5.828670879282072e-16
1030,cat__suburb_Ferndale,1.0,1.4456028966473392e-19
1030,num__rent_vs_suburb_type_bed_median_missing_flag,-0.5551738537244145,-9.486769009248164e-20
7328,num__fixed_cost_burden,-0.6463863587844563,-1.2258712563569437e-14
7328,num__debt_service_headroom_win,0.3506539253198984,-8.692121096961122e-15
7328,num__cash_flow_margin_win,0.7244560765828137,-5.828670879282072e-16
7328,cat__suburb_Ferndale,1.0,1.4456028966473392e-19
7328,num__rent_vs_suburb_type_bed_median_missing_flag,-0.5551738537244145,-9.486769009248164e-20
2445,num__fixed_cost_burden,0.4339846596484414,-1.3100631690576847e-14
2445,num__debt_service_headroom_win,-0.45795554038841185,-6.8463753185217984e-15
2445,num__cash_flow_margin_win,-0.5249498954475423,-1.466419578359061e-15
2445,num__city_listing_density,0.10767430104508834,1.2020809243117278e-19
2445,cat__suburb_Lyndhurst,0.0,-9.119721398771301e-20
4897,num__fixed_cost_burden,-0.45454546394558865,-1.3100631690576847e-14
4897,num__debt_service_headroom_win,-0.07421518662531591,-6.864879035598885e-15
4897,num__cash_flow_margin_win,0.5025997368607429,-1.4710455076283324e-15
4897,num__city_listing_density,-0.5626136075892457,1.2020809243117278e-19
4897,cat__suburb_Lyndhurst,0.0,-9.119721398771301e-20
