feature,mean_abs_shap
num__fixed_cost_burden,0.2479215060322696
num__debt_service_headroom_win,0.20806696886089224
num__cash_flow_margin_win,0.037791139976223256
num__city_listing_density,1.4879733669644377e-19
cat__property_type_Apartment,8.605854744103691e-20
num__rates_to_rent_win,8.58317308407166e-20
cat__property_type_House,7.846913223363838e-20
cat__suburb_Lyndhurst,7.667501057223536e-20
num__rent_vs_suburb_median_missing_flag,7.170416242823404e-20
num__rent_vs_suburb_median_win_missing_flag,6.415615772047905e-20
num__rent_vs_suburb_type_bed_median_missing_flag,6.112189747387031e-20
num__garage,5.7974699500961e-20
num__price_per_bedroom_missing_flag,5.723683968913059e-20
num__bathroom_density_floor,5.706225678722429e-20
cat__city_Johannesburg South,5.2719330637107655e-20
num__rent_median_suburb_bed_missing_flag,4.9489311664911257e-20
num__parking_spaces,4.640987632778229e-20
cat__suburb_Soweto Central,4.437323266349528e-20
num__parking_per_bedroom_missing_flag,4.319491571909263e-20
num__price_vs_city_price_median_win,4.1127214180072965e-20
cat__suburb_Noordwyk,4.044488208367367e-20
num__rent_vs_suburb_internal_median,4.036617860565796e-20
cat__suburb_Rivonia,3.969831665544092e-20
num__floor_area_sqm,3.8508941225338006e-20
cat__suburb_Mondeor,3.842800252148926e-20
cat__city_Randburg,3.835365185167472e-20
num__property_type_density,3.8115894409119036e-20
num__bathrooms,3.713392440762853e-20
cat__suburb_Lawley,3.707510267518031e-20
cat__suburb_Bordeaux,3.700357544852328e-20
num__price_per_sqm_vs_local_median_missing_flag,3.604783993970468e-20
num__rent_per_sqm,3.5811729505657543e-20
num__levies_to_rent_win,3.4907168904068886e-20
cat__rent_estimation_source_suburb,3.443847733992151e-20
num__rent_median_suburb_missing_flag,3.3693088346337725e-20
cat__suburb_Ormonde,3.3576856603020053e-20
num__bond_payment,3.3382980172870735e-20
num__rent_mean_suburb_type_bed_missing_flag,3.252606517456513e-20
num__rent_dispersion_suburb_missing_flag,3.1871026362021806e-20
num__total_expenses,3.1542742273228316e-20
num__suburb_type_median_price_per_sqm,3.0864821806762636e-20
num__monthly_rent_to_price,3.069506228691709e-20
num__rent_estimate_high_evidence_flag,2.984567647036486e-20
num__rent_mean_suburb_bed_missing_flag,2.922075438483502e-20
num__rent_per_bedroom,2.9139815680986274e-20
