feature,importance
num__debt_service_headroom_win,0.5660977406405029
num__fixed_cost_burden,0.3575761346647456
num__cash_flow_margin_win,0.07632612469474419
num__rent_vs_suburb_internal_median,1.1736489321066305e-16
cat__suburb_Sophiatown,9.68557325556167e-17
num__rates_to_rent_win,9.228764885265274e-17
num__rent_median_city_type_bed,8.594847955828853e-17
cat__suburb_Sandown,8.543817278290366e-17
num__rent_median_suburb_bed_missing_flag,8.185432816879397e-17
num__monthly_rent_to_price,8.183255131878881e-17
num__rent_vs_city_median,7.847625822723122e-17
cat__suburb_Mondeor,7.803566113889799e-17
cat__suburb_Parkmore,7.756672751508862e-17
cat__suburb_Eldorado Park,7.640382325979548e-17
cat__suburb_Vorna Valley,7.6089753956847e-17
cat__rent_estimation_source_suburb,7.595847563519609e-17
cat__suburb_Protea Glen,7.53921080417244e-17
cat__suburb_Ennerdale,7.24562339530042e-17
num__rent_vs_city_median_win,7.09540429584775e-17
num__rent_mean_suburb_type_bed_missing_flag,6.971919290467936e-17
cat__suburb_Douglasdale,6.96844987610796e-17
num__parking_spaces,6.916123356552283e-17
num__rates_taxes,6.912873452284715e-17
num__price_per_sqm_vs_local_median_missing_flag,6.517100928782724e-17
cat__suburb_Rivonia,6.468004919062727e-17
num__price_vs_city_price_median_win,6.347571401135173e-17
cat__property_type_House,6.331494077227143e-17
cat__suburb_Randpark Ridge,6.193647993605044e-17
num__rent_mean_suburb_bed_missing_flag,6.17875726838021e-17
cat__suburb_Bordeaux,6.167549760977716e-17
num__price_per_sqm_missing_flag,6.07839968102545e-17
cat__property_type_Apartment,5.996359392201167e-17
num__levies_to_rent_win,5.920338088333247e-17
num__rent_vs_province_median,5.841598226235185e-17
cat__city_Johannesburg South,5.790079995143525e-17
num__rent_vs_suburb_type_bed_median_missing_flag,5.685808393241204e-17
num__rent_vs_suburb_median_win_missing_flag,5.6599636045151e-17
num__maintenance_cost,5.642547675555832e-17
num__parking_per_bedroom_missing_flag,5.635786515690405e-17
num__price_per_bedroom_missing_flag,5.627597127690351e-17
num__property_type_density,5.603783159435546e-17
num__rent_vs_suburb_median_missing_flag,5.505633433947109e-17
num__rent_per_bathroom,5.442504553717907e-17
cat__suburb_Ormonde,5.373743494664743e-17
cat__city_Rosebank And Parktown,5.371445971320303e-17
num__bond_payment,5.3410703988073776e-17
num__rent_mean_suburb_bed,5.30107814529032e-17
num__bathrooms,5.2502876923372836e-17
num__levies,5.2341253128518054e-17
num__garage,5.068060466696746e-17
cat__suburb_Noordwyk,5.018860928531629e-17
num__floor_area_sqm,4.9306710988600413e-17
num__rent_dispersion_suburb_type_bed_missing_flag,4.925717916928391e-17
cat__suburb_Lyndhurst,4.901173621177265e-17
num__bathroom_density_floor,4.8729621854273104e-17
cat__suburb_Waterfall Estate,4.811563702081167e-17
num__rent_mean_suburb_type_bed,4.782350958362467e-17
cat__suburb_Soweto Central,4.705028147563096e-17
num__annual_rent_per_sqm,4.6944288266255865e-17
num__city_listing_density,4.6164785848573185e-17
cat__suburb_Morningside,4.600529249444431e-17
cat__suburb_Sandton Central,4.565804191236611e-17
cat__suburb_Meadowlands,4.56496881520358e-17
cat__suburb_Clayville,4.558439821398083e-17
num__rent_median_suburb_missing_flag,4.5507214907904385e-17
cat__suburb_Broadacres,4.5461575852197614e-17
num__price_vs_suburb_median_rent_multiple,4.531597101660591e-17
num__price_per_sqm,4.4920806607840737e-17
num__monthly_rent_to_price_win,4.33375212618991e-17
num__total_expenses,4.2348616273975526e-17
cat__city_Sandton,4.1877472592358727e-17
num__rent_count_suburb_type_bed,4.1799830176550025e-17
num__rent_mean_suburb,4.157002366610072e-17
cat__suburb_Diepkloof,4.141992216569756e-17
num__deposit_amount,4.141144912874034e-17
num__bedroom_density_floor_missing_flag,4.1340600018100623e-17
num__rent_dispersion_suburb_missing_flag,4.1297221260461487e-17
cat__suburb_Melrose Arch,4.038308093578864e-17
num__rent_median_suburb_type_bed_missing_flag,3.991302510826884e-17
num__parking_spaces_missing_flag,3.974576351685155e-17
num__rent_median_suburb,3.974027625706965e-17
num__bond_payment_to_income,3.892325965914626e-17
num__suburb_type_median_price_per_sqm,3.8822503522177834e-17
cat__suburb_Johannesburg Cbd,3.876647259306706e-17
